name_7026#0,"""Faria"""
msn_027610_0010#0,"""Oh, it's you."""
msn_027610_0020#0,"""What are you doing here?"""
msn_027610_0030#0,"""Investigating something?"""
msn_027610_0035#0,"""See you later!"""
msn_027610_0040#0,"""No, I was just out for a walk."""
msn_027610_0050#0,"""Ilma told me that spending time like this is important too."""
msn_027610_0060#0,"""This might be the first time we've spoken like this, just the two of us."""
msn_027610_0070#0,"""If you don't mind, would you listen to what I have to say?"""
msn_027610_0071#0,"""Until now, we have always acted exactly as Zephetto instructed us."""
msn_027610_0072#0,"""As members of the Resurgent ARKS..."""
msn_027610_0080#0,"""It was the same that day when Manon deviated from her mission and came to Leciel."""
msn_027610_0090#0,"""I thought it would affect the experiment,<br>so I searched for a way for Manon to continue her mission."""
msn_027610_0100#0,"""I determined that I couldn't resolve the issue on my own, so I asked for your assistance."""
msn_027610_0110#0,"""At the time, I did not consider what kind of outcome that decision might bring."""
msn_027610_0120#0,"""Our thinking used to be uniform, and our emotions were flat and simple."""
msn_027610_0130#0,"""...However, the people we met here were completely different from us."""
msn_027610_0140#0,"""People here are always thinking, and openly sharing different opinions."""
msn_027610_0150#0,"""Even when they come into conflict, they continue their dialogue in order to resolve their problems."""
msn_027610_0160#0,"""Their thoughts trace complex paths, and often, it is impossible to tell where they will lead."""
msn_027610_0170#0,"""While monitoring Manon at Leciel, I felt that she was changing."""
msn_027610_0180#0,"""However, I never understood what that change truly meant..."""
msn_027610_0190#0,"""It was only after coming here myself that I finally began to understand."""
msn_027610_0200#0,"""I've learned that even for a single event, countless emotions exist..."""
msn_027610_0210#0,"""And even when experiencing the same thing, people can feel entirely different ways."""
msn_027610_0220#0,"""From those feelings, new words and actions are born, which in turn lead to even more."""
msn_027610_0230#0,"""We learned that this is what \\"living\\"" is."""
msn_027610_0240#0,"""Does that apply to other Lecielans as well?"""
msn_027610_0250#0,"""I'm happy to be able to talk with you like this, Faria."""
msn_027610_0260#0,"""There are individual differences, but..."""
msn_027610_0270#0,"""It seems that changes are occurring as a result of interacting with you all."""
msn_027610_0280#0,"""I, too, am happy to be able to talk to you like this."""
msn_027610_0290#0,"""Emotions are very mysterious things..."""
msn_027610_0300#0,"""Right now, the one who has the greatest influence on us is Ilma."""
msn_027610_0310#0,"""Ilma is a strange person."""
msn_027610_0320#0,"""His attitude toward research and experiments is very simple."""
msn_027610_0330#0,"""He follows his curiosity relentlessly until he finds an answer..."""
msn_027610_0340#0,"""To achieve that, he will sometimes resort to any means necessary."""
msn_027610_0350#0,"""...In that respect, he might be similar to Zephetto."""
msn_027610_0360#0,"""But apart from that, there's still a lot about his behavior that I don't understand."""
msn_027610_0370#0,"""Like when we're eating, and he suddenly shouts and runs off to the lab."""
msn_027610_0380#0,"""Or when he had plans with his siblings in Kvaris, but he was still looking at his terminal when it was time to leave."""
msn_027610_0390#0,"""His thoughts and actions are never constant, which makes him a very fascinating individual."""
msn_027610_0400#0,"""I... well, I want to know more about Manon, Aina, and you as well."""
msn_027610_0410#0,"""I want to know more, to think more, and eventually be able to express something of my own."""
msn_027610_0420#0,"""I'm still not sure what exactly that 'something' might be..."""
msn_027610_0430#0,"""I hope you can find what you want to do."""
msn_027610_0440#0,"""I have high hopes for Faria's future."""
msn_027610_0450#0,"""Yes. <br>I'll do my best."""
msn_027610_0460#0,"""Yes. <br>Thank you."""
msn_027610_0470#0,"""I might inconvenience you at times, so I apologize in advance..."""
msn_027610_0480#0,"""I look forward to your continued support."""
